    Ex (keV),    Ibeta (%),           ft,       d_ft_l,       d_ft_r,        logft
    6143.600,        0.851,    30928.005,     3697.154,     4085.046,        4.490
    5738.090,        0.460,    57224.520,     6840.657,     7558.354,        4.758
    5323.260,        1.612,    16321.802,    10172.267,     2155.823,        4.213
    4715.340,        0.312,    84236.200,    10069.651,    11126.123,        4.925
    4711.410,        0.320,    82304.819,     9838.772,    10871.021,        4.915
    4259.110,        3.320,     7922.894,     7922.894,     1046.475,        3.899
    3956.640,        2.396,    10976.735,    10976.735,     1449.834,        4.040
    3842.080,        1.506,    17470.526,     9078.159,     2307.550,        4.242
    3733.670,        1.112,    23647.671,     3879.893,     3123.442,        4.374
    3423.630,        7.646,     3440.256,     3440.256,      454.397,        3.537
    3335.790,        1.990,    13221.349,    13178.960,     1746.308,        4.121
    3150.090,        8.247,     3189.580,     3189.580,      421.287,        3.504
    3043.020,        5.371,     4897.188,     4897.188,      646.833,        3.690
    2892.040,        7.356,     3576.243,     3576.243,      472.359,        3.553
    2701.380,        8.119,     3239.839,     3239.839,      427.926,        3.511
    2555.410,        7.096,     3707.187,     3707.187,      489.654,        3.569
    2508.810,        6.725,     3911.571,     3911.571,      516.650,        3.592
    2413.400,        2.460,    10692.952,    10692.952,     1412.351,        4.029
    2300.970,        1.897,    13864.469,    12550.640,     1831.253,        4.142
    2301.180,        1.417,    18566.102,     8051.045,     2452.256,        4.269
    2203.560,        1.413,    18613.923,     8006.675,     2458.572,        4.270
    2203.850,        0.238,   110423.498,    13200.098,    14585.005,        5.043
    2034.930,        2.729,     9638.851,     9638.851,     1273.123,        3.984
    1918.590,        2.510,    10480.826,    10480.826,     1384.333,        4.020
    1672.930,        3.880,     6779.760,     6779.760,      895.487,        3.831
    1486.310,        1.731,    15194.688,    11258.003,     2006.951,        4.182
    1362.260,        1.998,    13163.985,    13163.985,     1738.731,        4.119
    1302.600,        9.104,     2889.462,     2889.462,      381.647,        3.461
    1151.760,        4.229,     6220.634,     6220.634,      821.637,        3.794
